Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
1_MUT_12DPA_R1_1	1_MUT_12DPA_R1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27967874.0	0.0	51.0	50.0	32.38325026643624	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
1_MUT_12DPA_R1_2	1_MUT_12DPA_R1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27967874.0	0.0	51.0	51.0	35.756736052862905	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
1_MUT_12DPA_R2_1	1_MUT_12DPA_R2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25598242.0	0.0	51.0	50.0	32.31156245696626	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
1_MUT_12DPA_R2_2	1_MUT_12DPA_R2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25598242.0	0.0	51.0	51.0	35.42620813587413	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
1_MUT_12DPA_R3_1	1_MUT_12DPA_R3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26529006.0	0.0	51.0	50.0	30.84301848324603	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
1_MUT_12DPA_R3_2	1_MUT_12DPA_R3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26529006.0	0.0	51.0	51.0	34.63477515823604	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
1_MUT_14DPA_R1_1	1_MUT_14DPA_R1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29910246.0	0.0	51.0	50.0	25.942654474789418	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
1_MUT_14DPA_R1_2	1_MUT_14DPA_R1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29910246.0	0.0	51.0	52.0	27.735463630139613	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
1_MUT_14DPA_R2_1	1_MUT_14DPA_R2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34109168.0	0.0	51.0	50.0	27.416554697056682	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
1_MUT_14DPA_R2_2	1_MUT_14DPA_R2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	34109168.0	0.0	51.0	52.0	29.32671656163371	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
1_MUT_14DPA_R3_1	1_MUT_14DPA_R3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25281555.0	0.0	51.0	50.0	29.469614636042763	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
1_MUT_14DPA_R3_2	1_MUT_14DPA_R3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25281555.0	0.0	51.0	52.0	31.326338586837625	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
1_WT_12DPA_R1_1	1_WT_12DPA_R1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26783714.0	0.0	51.0	49.0	33.539278974755824	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
1_WT_12DPA_R1_2	1_WT_12DPA_R1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26783714.0	0.0	51.0	51.0	35.84188611737002	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
1_WT_12DPA_R2_1	1_WT_12DPA_R2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28385631.0	0.0	51.0	49.0	35.47083708610318	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
1_WT_12DPA_R2_2	1_WT_12DPA_R2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28385631.0	0.0	51.0	51.0	38.30710826029274	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
1_WT_14DPA_R1_1	1_WT_14DPA_R1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28044970.0	0.0	51.0	50.0	34.411482567910916	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
1_WT_14DPA_R1_2	1_WT_14DPA_R1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28044970.0	0.0	51.0	51.0	37.18765588839824	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass
1_WT_14DPA_R2_1	1_WT_14DPA_R2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33357484.0	0.0	51.0	49.0	34.25856088204639	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
1_WT_14DPA_R2_2	1_WT_14DPA_R2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33357484.0	0.0	51.0	50.0	37.41177442372067	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	fail	pass
2_MUT_12DPA_R1_1	2_MUT_12DPA_R1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27327312.0	0.0	51.0	50.0	34.32984381001466	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
2_MUT_12DPA_R1_2	2_MUT_12DPA_R1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27327312.0	0.0	51.0	51.0	37.638474769605565	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
2_MUT_12DPA_R2_1	2_MUT_12DPA_R2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25283818.0	0.0	51.0	50.0	33.86108179285232	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
2_MUT_12DPA_R2_2	2_MUT_12DPA_R2_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25283818.0	0.0	51.0	51.0	36.91439314912669	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
2_MUT_12DPA_R3_1	2_MUT_12DPA_R3_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26201178.0	0.0	51.0	50.0	32.19872647644582	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
2_MUT_12DPA_R3_2	2_MUT_12DPA_R3_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26201178.0	0.0	51.0	51.0	36.250163158412	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
2_MUT_14DPA_R1_1	2_MUT_14DPA_R1_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29296988.0	0.0	51.0	50.0	27.73770915095527	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
2_MUT_14DPA_R1_2	2_MUT_14DPA_R1_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29296988.0	0.0	51.0	52.0	29.517110610230684	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
2_MUT_14DPA_R2_1	2_MUT_14DPA_R2_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	33599135.0	0.0	51.0	50.0	28.891061636940513	51.0	pass	pass	pass	pass	fail	pass	pass	pass	fail	warn	pass
