Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
1_MUT_12DPA_R1_1	67.61674973356375	50.0	51.0	18.181818181818183	27967874.0
1_MUT_12DPA_R1_2	64.2432639471371	51.0	51.0	18.181818181818183	27967874.0
1_MUT_12DPA_R2_1	67.68843754303374	50.0	51.0	18.181818181818183	25598242.0
1_MUT_12DPA_R2_2	64.57379186412587	51.0	51.0	18.181818181818183	25598242.0
1_MUT_12DPA_R3_1	69.15698151675397	50.0	51.0	18.181818181818183	26529006.0
1_MUT_12DPA_R3_2	65.36522484176396	51.0	51.0	18.181818181818183	26529006.0
1_MUT_14DPA_R1_1	74.05734552521058	50.0	51.0	18.181818181818183	29910246.0
1_MUT_14DPA_R1_2	72.2645363698604	52.0	51.0	18.181818181818183	29910246.0
1_MUT_14DPA_R2_1	72.58344530294332	50.0	51.0	18.181818181818183	34109168.0
1_MUT_14DPA_R2_2	70.6732834383663	52.0	51.0	18.181818181818183	34109168.0
1_MUT_14DPA_R3_1	70.53038536395724	50.0	51.0	18.181818181818183	25281555.0
1_MUT_14DPA_R3_2	68.67366141316238	52.0	51.0	18.181818181818183	25281555.0
1_WT_12DPA_R1_1	66.46072102524417	49.0	51.0	18.181818181818183	26783714.0
1_WT_12DPA_R1_2	64.15811388262998	51.0	51.0	18.181818181818183	26783714.0
1_WT_12DPA_R2_1	64.52916291389681	49.0	51.0	18.181818181818183	28385631.0
1_WT_12DPA_R2_2	61.69289173970726	51.0	51.0	18.181818181818183	28385631.0
1_WT_14DPA_R1_1	65.58851743208908	50.0	51.0	18.181818181818183	28044970.0
1_WT_14DPA_R1_2	62.81234411160176	51.0	51.0	27.27272727272727	28044970.0
1_WT_14DPA_R2_1	65.7414391179536	49.0	51.0	18.181818181818183	33357484.0
1_WT_14DPA_R2_2	62.58822557627933	50.0	51.0	27.27272727272727	33357484.0
2_MUT_12DPA_R1_1	65.67015618998533	50.0	51.0	18.181818181818183	27327312.0
2_MUT_12DPA_R1_2	62.361525230394435	51.0	51.0	18.181818181818183	27327312.0
2_MUT_12DPA_R2_1	66.13891820714768	50.0	51.0	18.181818181818183	25283818.0
2_MUT_12DPA_R2_2	63.08560685087331	51.0	51.0	18.181818181818183	25283818.0
2_MUT_12DPA_R3_1	67.80127352355419	50.0	51.0	18.181818181818183	26201178.0
2_MUT_12DPA_R3_2	63.749836841588	51.0	51.0	18.181818181818183	26201178.0
2_MUT_14DPA_R1_1	72.26229084904473	50.0	51.0	18.181818181818183	29296988.0
2_MUT_14DPA_R1_2	70.48288938976931	52.0	51.0	18.181818181818183	29296988.0
2_MUT_14DPA_R2_1	71.10893836305948	50.0	51.0	18.181818181818183	33599135.0
2_MUT_14DPA_R2_2	69.21513063462537	52.0	51.0	18.181818181818183	33599135.0
2_MUT_14DPA_R3_1	69.14338566195359	50.0	51.0	18.181818181818183	24964785.0
2_MUT_14DPA_R3_2	67.11741887047978	52.0	51.0	18.181818181818183	24964785.0
2_WT_12DPA_R1_1	64.52268115359959	50.0	51.0	18.181818181818183	26247657.0
2_WT_12DPA_R1_2	62.09221473037323	51.0	51.0	18.181818181818183	26247657.0
2_WT_12DPA_R2_1	62.87297612073288	49.0	51.0	18.181818181818183	27881288.0
2_WT_12DPA_R2_2	59.86486030412992	51.0	51.0	18.181818181818183	27881288.0
2_WT_14DPA_R1_1	63.6966097130913	50.0	51.0	18.181818181818183	27427254.0
2_WT_14DPA_R1_2	60.92414514524418	51.0	51.0	27.27272727272727	27427254.0
2_WT_14DPA_R2_1	64.15528285888793	49.0	51.0	18.181818181818183	32907985.0
2_WT_14DPA_R2_2	60.647026745929956	50.0	51.0	27.27272727272727	32907985.0
3_MUT_12DPA_R1_1	68.8925645544922	50.0	51.0	18.181818181818183	27952299.0
3_MUT_12DPA_R1_2	65.38780518157256	51.0	51.0	18.181818181818183	27952299.0
3_MUT_12DPA_R2_1	69.03334816688412	50.0	51.0	18.181818181818183	25722794.0
3_MUT_12DPA_R2_2	66.09373973098403	51.0	51.0	18.181818181818183	25722794.0
3_MUT_12DPA_R3_1	70.63127327750801	50.0	51.0	18.181818181818183	26717778.0
3_MUT_12DPA_R3_2	66.6723699206319	51.0	51.0	18.181818181818183	26717778.0
3_MUT_14DPA_R1_1	74.93540165027747	50.0	51.0	18.181818181818183	29667209.0
3_MUT_14DPA_R1_2	73.46231184819663	52.0	51.0	18.181818181818183	29667209.0
3_MUT_14DPA_R2_1	73.50429046885552	50.0	51.0	18.181818181818183	34461188.0
3_MUT_14DPA_R2_2	71.3698513741469	52.0	51.0	18.181818181818183	34461188.0
3_MUT_14DPA_R3_1	72.11235065094827	50.0	51.0	18.181818181818183	25558857.0
3_MUT_14DPA_R3_2	70.03185208121886	52.0	51.0	18.181818181818183	25558857.0
3_WT_12DPA_R1_1	67.91913471524737	49.0	51.0	18.181818181818183	26825558.0
3_WT_12DPA_R1_2	65.38609434668203	51.0	51.0	18.181818181818183	26825558.0
3_WT_12DPA_R2_1	65.91905769787425	49.0	51.0	18.181818181818183	28411071.0
3_WT_12DPA_R2_2	62.81141033368617	51.0	51.0	18.181818181818183	28411071.0
3_WT_14DPA_R1_1	66.62761588456384	50.0	51.0	18.181818181818183	27933587.0
3_WT_14DPA_R1_2	63.896841992928664	51.0	51.0	27.27272727272727	27933587.0
3_WT_14DPA_R2_1	67.70069409925895	49.0	51.0	18.181818181818183	33823132.0
3_WT_14DPA_R2_2	64.00544666401507	50.0	51.0	27.27272727272727	33823132.0
4_MUT_12DPA_R1_1	66.25999756276306	50.0	51.0	18.181818181818183	27389412.0
4_MUT_12DPA_R1_2	63.036573482150914	51.0	51.0	18.181818181818183	27389412.0
4_MUT_12DPA_R2_1	66.61899351872134	50.0	51.0	18.181818181818183	25441648.0
4_MUT_12DPA_R2_2	63.790370998124736	51.0	51.0	18.181818181818183	25441648.0
4_MUT_12DPA_R3_1	68.26470598034149	50.0	51.0	18.181818181818183	26448745.0
4_MUT_12DPA_R3_2	64.4967170156805	51.0	51.0	18.181818181818183	26448745.0
4_MUT_14DPA_R1_1	72.38632781647215	50.0	51.0	18.181818181818183	29221880.0
4_MUT_14DPA_R1_2	71.43467940475477	52.0	51.0	18.181818181818183	29221880.0
4_MUT_14DPA_R2_1	71.27814670484365	50.0	51.0	18.181818181818183	33816354.0
4_MUT_14DPA_R2_2	69.74847690679209	52.0	51.0	18.181818181818183	33816354.0
4_MUT_14DPA_R3_1	69.57849646882909	50.0	51.0	18.181818181818183	25190646.0
4_MUT_14DPA_R3_2	67.7208852924616	52.0	51.0	18.181818181818183	25190646.0
4_WT_12DPA_R1_1	65.01740532404311	49.0	51.0	18.181818181818183	26366482.0
4_WT_12DPA_R1_2	62.85991182264344	51.0	51.0	18.181818181818183	26366482.0
4_WT_12DPA_R2_1	63.46615297121426	49.0	51.0	18.181818181818183	27976253.0
4_WT_12DPA_R2_2	60.52198444752121	51.0	51.0	18.181818181818183	27976253.0
4_WT_14DPA_R1_1	64.09288273767052	50.0	51.0	18.181818181818183	27416888.0
4_WT_14DPA_R1_2	61.53536148395042	51.0	51.0	27.27272727272727	27416888.0
4_WT_14DPA_R2_1	64.8521207138091	49.0	51.0	18.181818181818183	33336764.0
4_WT_14DPA_R2_2	61.68492013238421	50.0	51.0	27.27272727272727	33336764.0
