rowname	genename	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name.GENENAME	MUT_12DPA_R1	MUT_12DPA_R2	MUT_12DPA_R3	WT_12DPA_R1	WT_12DPA_R2	MUT_14DPA_R1	MUT_14DPA_R2	MUT_14DPA_R3	WT_14DPA_R1	WT_14DPA_R2
ENSMUSG00000000093	NA	831.642780540434	-1.73567354795838	0.329418496258504	-5.26890131450407	1.372427187704e-07	1.60970245149367e-06	Tbx2	1.1	1.87	0.86	3.31	3.68	0.61	2.03	1.24	3.41	3.1
ENSMUSG00000000094	NA	280.268495776291	-1.51931844502258	0.291594568475049	-5.21037978508362	1.88454458421058e-07	2.1351761938794e-06	Tbx4	0.52	0.87	0.88	1.67	1.56	0.22	0.72	0.41	0.95	1.17
ENSMUSG00000000204	NA	135.132016481681	1.60568521085954	0.558579809750522	2.87458512253905	0.00404558701895622	0.0132782145166091	Slfn4	0.13	0.2	1.59	0.13	0.11	0.8	0.33	0.32	0.16	0.14
ENSMUSG00000000263	NA	1.39591221084696	-4.31832910510275	1.76061586071309	-2.45273781831871	0.0141773629478238	0.0379437537997759	Glra1	0	0	0	0.01	0.04	0	0	0	0.01	0.01
ENSMUSG00000000305	NA	282.698662287038	-1.88580309119127	0.276936984935886	-6.80950249973963	9.79368315495573e-12	2.87678647170701e-10	Cdh4	0.17	0.35	0.35	0.61	1.59	0.23	0.48	0.24	0.55	0.61
ENSMUSG00000000317	NA	213.172029753263	-1.89666472736285	0.257963693084461	-7.35244834141003	1.94608756795738e-13	7.92471600105871e-12	Bcl6b	0.59	0.51	0.51	1.1	1.42	0.23	0.5	0.26	0.93	1.06
ENSMUSG00000000693	NA	768.483060012745	-2.25246112294132	0.18901929220835	-11.916567333553	9.70243038763397e-33	3.51291256752269e-30	Loxl3	1.76	1.13	1.9	5.02	4.84	1	1.9	1.28	3.44	5.21
ENSMUSG00000000706	NA	6.59915916147499	-2.66474358305913	0.72337357415892	-3.68377236638409	0.000229807482416147	0.00113945924966982	Btn1a1	0.02	0.02	0	0.04	0.17	0.01	0.02	0.01	0.02	0.02
ENSMUSG00000000753	NA	5038.52553819516	-1.8147368656166	0.247637118437087	-7.32821023386948	2.33246626992022e-13	9.31588146894996e-12	Serpinf1	28.72	31.1	38.6	88.35	113.34	13.31	35.61	26.07	59.86	67.47
ENSMUSG00000000982	NA	73.8824758860038	3.72120796531394	0.704221981543725	5.28414060174134	1.26296227299819e-07	1.50140161718664e-06	Ccl3	0.72	1.08	10.1	0.2	0.21	1.14	0.74	1.81	0.11	0.04
ENSMUSG00000001021	NA	5477.14328650327	-2.71747763958841	0.337976723449907	-8.04042838172309	8.95249426172665e-16	5.02032969458106e-14	S100a3	35.28	53.37	41.46	150.22	443.92	37.08	22.36	32.74	55.64	157.22
ENSMUSG00000001027	NA	5.47546375132044	-3.45448235939325	1.11006915568244	-3.11195238756953	0.00185854471429638	0.00686342842940272	Scn4a	0	0	0.01	0.02	0.03	0	0	0	0.01	0.01
ENSMUSG00000001029	NA	103.871311715281	-2.14971013755631	0.211649905140088	-10.1569151950881	3.08688949747955e-24	5.08276226762833e-22	Icam2	0.48	0.5	0.75	1.47	1.91	0.25	0.41	0.4	1.21	1.78
ENSMUSG00000001240	NA	367.19339369512	-1.67590083145146	0.274900757603544	-6.09638491381829	1.08493993110518e-09	2.07221038446752e-08	Ramp2	1.92	2.09	4.81	6.09	7.94	1.1	3.54	2.1	5.2	8.6
ENSMUSG00000001334	NA	31.5726418765075	-4.20511296892186	0.481223959730219	-8.73836990842955	2.36498031717222e-18	2.03034779291255e-16	Fndc5	0.03	0.01	0.02	0.29	0.33	0.01	0.03	0	0.16	0.18
