gene_name.GENEID,gene_name.GENENAME,MUT_12DPA_R1,MUT_12DPA_R2,MUT_12DPA_R3,WT_12DPA_R1,WT_12DPA_R2,MUT_14DPA_R1,MUT_14DPA_R2,MUT_14DPA_R3,WT_14DPA_R1,WT_14DPA_R2
ENSMUSG00000000001,Gnai3,28741.86,24954.7,25293.01,20489,15146,33993.77,42082.52,31818.08,19734.9,25622.93
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,483,251,457,221,355,190,255,197,199,386
ENSMUSG00000000037,Scml2,355,312,392,188,221,291,335,292,222,353
ENSMUSG00000000049,Apoh,0,1,1,0,2,0,0,0,3,0
ENSMUSG00000000056,Narf,5734,4215,5478,3802.68,3599,4897.13,5944,4767.83,2991,4800.51
ENSMUSG00000000058,Cav2,9329,8866.37,13097,8690,5498,9202.99,14658.09,11642.01,8504.71,9217
ENSMUSG00000000078,Klf6,15520,14817.34,18853.34,10262,11346.39,22431,22496,17010.58,11607,12788.84
ENSMUSG00000000085,Scmh1,1234.01,1259.76,1533,1607,1389.94,1082,1270,1056,1089.99,1465
ENSMUSG00000000088,Cox5a,4977,4422,4588.43,4103,3436,4948,6371,5084,3422,4565
ENSMUSG00000000093,Tbx2,384,512,254,1156,1131.78,215,978.99,440,1534,1497
ENSMUSG00000000094,Tbx4,153,197,219.01,485,402,63,294,118,362,471
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,392,507,243.42,742,315.96,439,705,669,444.99,376.71
ENSMUSG00000000125,Wnt3,399,377,756,751,1717,465,631,685,541,2076
ENSMUSG00000000126,Wnt9a,601,638,1562,1213.01,1292,388,795,632,817,951
ENSMUSG00000000127,Fer,2399,2097,2185.08,2568,2624,2103,2337,1771,2668,3679
ENSMUSG00000000131,Xpo6,4637.73,4933,6091,4762,6696,5475.63,6040.02,4346.86,3873.96,5678
ENSMUSG00000000134,Tfe3,3472,3690,4164.01,2912,2810,3947,4036.22,3082.03,1996.96,3000.59
ENSMUSG00000000142,Axin2,970.2,991.12,1270,1271.65,1578.38,828,1055,977,1154,2080.02
ENSMUSG00000000148,Brat1,969.98,775,955,824,776,609,796,493,644,988
