gene_name.GENEID,gene_name.GENENAME,MUT_12DPA_R1,MUT_12DPA_R2,MUT_12DPA_R3,WT_12DPA_R1,WT_12DPA_R2,MUT_14DPA_R1,MUT_14DPA_R2,MUT_14DPA_R3,WT_14DPA_R1,WT_14DPA_R2
ENSMUSG00000000001,Gnai3,116.66,106.82,102.46,90.83,65.95,123.6,137.59,138.97,92.65,98.99
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,3.56,2.01,3.2,1.87,2.73,1.24,1.5,1.56,1.7,2.73
ENSMUSG00000000037,Scml2,1.09,1.16,1.44,0.74,0.77,0.79,0.88,1.26,1.01,1.08
ENSMUSG00000000049,Apoh,0,0.01,0.01,0,0.03,0,0,0,0.04,0
ENSMUSG00000000056,Narf,18.85,14.06,17.7,13.22,14.21,14.46,14.63,17.17,12.33,15.62
ENSMUSG00000000058,Cav2,53.75,54.75,78.1,54.37,35.72,50.01,70.23,72.94,55.89,48.03
ENSMUSG00000000078,Klf6,51.24,53.63,63.31,37.98,43.28,64.6,62.05,59.62,45.62,39.92
ENSMUSG00000000085,Scmh1,10.68,8.61,11.95,11.99,11.23,7.01,7.31,10.2,9.55,10.95
ENSMUSG00000000088,Cox5a,141.96,131.91,130.03,128.37,102.64,126.06,151.87,159.96,106.51,124.63
ENSMUSG00000000093,Tbx2,1.39,1.96,0.92,4.57,4.4,0.7,2.86,1.71,6.43,5.16
ENSMUSG00000000094,Tbx4,0.66,0.91,0.94,2.31,1.86,0.25,1.01,0.56,1.78,1.95
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,1.5,2.05,0.93,3.1,1.3,1.5,2.17,2.75,1.97,1.37
ENSMUSG00000000125,Wnt3,1.73,1.72,3.26,3.55,7.97,1.8,2.2,3.19,2.71,8.55
ENSMUSG00000000126,Wnt9a,2.39,2.68,6.21,5.28,5.52,1.39,2.55,2.71,3.77,3.61
ENSMUSG00000000127,Fer,11.1,10.09,9.87,12.85,12.83,8.5,8.56,8.61,14.18,16.15
ENSMUSG00000000131,Xpo6,17.8,18.53,22.67,16.79,26.36,17.38,16.98,15.94,16.38,19.38
ENSMUSG00000000134,Tfe3,15.43,18.19,18.79,14.33,13.15,15.62,13.97,14.18,9.86,12.35
ENSMUSG00000000142,Axin2,4.45,4.82,5.88,6.26,7.84,3.3,3.65,4.93,7.05,8.99
ENSMUSG00000000148,Brat1,3.9,3.34,3.78,3.69,3.42,2.18,2.66,2.17,2.95,3.86
ENSMUSG00000000149,Gna12,15.72,16.58,20.12,17.48,20.38,15.91,16.39,14.64,15.48,21.84
ENSMUSG00000000154,Slc22a18,3.64,3.87,4.08,3.74,4.06,3.3,3.75,3.65,3.41,4.29
ENSMUSG00000000157,Itgb2l,0.03,0.01,0.02,0,0,0.06,0,0,0,0.18
ENSMUSG00000000159,Igsf5,0.05,0.01,0,0.02,0.01,0,0.02,0,0,0.01
ENSMUSG00000000167,Pih1d2,0.77,0.45,0.68,0.72,0.2,0.34,0.58,0.51,0.86,0.53
ENSMUSG00000000168,Dlat,12.01,10.56,12.51,8.34,10.25,8.96,9.88,8.99,7.87,10.6
ENSMUSG00000000171,Sdhd,41.64,29.79,35.66,32.76,24.78,24.82,38.58,38.91,34.5,33.76
ENSMUSG00000000182,Fgf23,0,0.02,0,0,0.01,0,0.01,0.03,0,0
ENSMUSG00000000183,Fgf6,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000184,Ccnd2,44.74,33.83,45.54,54.54,64.79,32.66,41.51,41.58,46.18,69.38
ENSMUSG00000000194,Gpr107,18.25,18.3,17.26,17.46,17.42,15.44,18.17,16.75,16.69,18.5
ENSMUSG00000000197,Nalcn,0.04,0.03,0.02,0.07,0.02,0.05,0.06,0.1,0.02,0.04
ENSMUSG00000000202,Btbd17,0,0.03,0.01,0.04,0,0.01,0,0,0.01,0
ENSMUSG00000000204,Slfn4,0.17,0.21,1.7,0.17,0.13,0.92,0.46,0.45,0.3,0.24
ENSMUSG00000000214,Th,0.05,0.01,0,0,0,0.01,0.03,0,0,0
ENSMUSG00000000215,Ins2,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,Scnn1g,1.74,1.56,1.96,1.07,1.87,2.48,1.46,1.45,0.8,2.38
ENSMUSG00000000223,Drp2,0.22,0.3,0.28,0.53,0.45,0.11,0.38,0.34,0.39,0.37
ENSMUSG00000000244,Tspan32,0.04,0.02,0.14,0.19,0.15,0.04,0.09,0.05,0.16,0.14
ENSMUSG00000000247,Lhx2,0.67,0.4,0.53,0.55,1.08,0.16,0.45,0.22,0.88,0.54
ENSMUSG00000000248,Clec2g,17.11,14.47,13.88,14.28,11.82,16.29,13.86,12.29,16.91,11.63
ENSMUSG00000000253,Gmpr,2,0.68,1.81,0.94,1.61,0.73,1.13,0.9,1.8,2.5
ENSMUSG00000000263,Glra1,0,0,0,0.01,0.05,0,0,0,0.02,0.02
ENSMUSG00000000266,Mid2,16.28,17.16,16.79,16.11,17.08,20.38,16.55,18.66,15.58,17.62
ENSMUSG00000000275,Trim25,13.24,13.11,10,6,6.66,9.46,14.12,12,7.08,8.37
ENSMUSG00000000276,Dgke,2.39,2.55,2.26,1.51,2.02,1.98,2.53,2.1,1.72,2.02
ENSMUSG00000000278,Scpep1,36.51,35.68,27.9,37.6,29.57,41.12,49.74,41.3,32.03,30.13
ENSMUSG00000000282,Mnt,15.35,16.47,19.11,7.82,10.16,20.29,15.86,17.17,9.78,9.52
ENSMUSG00000000290,Itgb2,1.36,1.02,9.01,2.35,2.02,0.73,1.25,1.49,1.43,1.95
ENSMUSG00000000295,Hddc2,20.13,17.51,17.89,16.31,15.01,16.34,22.71,23.25,19.29,26.08
ENSMUSG00000000296,Tpd52l1,2.67,3.27,4.07,3.44,6.28,2.73,2.72,2.71,3.93,9.56
ENSMUSG00000000301,Pemt,3.94,2.08,2.3,2.14,2.68,1.92,2.81,1.65,2.29,2.39
ENSMUSG00000000303,Cdh1,118.11,110.69,138.61,76.78,78.59,122.21,105.21,120.77,62.26,94.75
ENSMUSG00000000305,Cdh4,0.22,0.37,0.37,0.85,1.9,0.26,0.68,0.34,1.04,1.02
ENSMUSG00000000308,Ckmt1,146.91,125.16,122.03,90.27,78.1,113.84,119.9,133.71,83.66,86
ENSMUSG00000000317,Bcl6b,0.75,0.54,0.54,1.51,1.69,0.26,0.7,0.37,1.76,1.76
ENSMUSG00000000318,Clec10a,0.1,0.13,0.15,0.26,0.43,0,0.1,0.09,0.29,0.37
ENSMUSG00000000320,Alox12,15.1,12.49,10.12,7.58,5.15,16.03,12.81,13.36,6.96,6.13
ENSMUSG00000000326,Comt,46.17,42.95,44.55,28.78,27.05,40.43,49.56,40.56,24.83,29.58
ENSMUSG00000000339,Rtca,8.22,8.91,10.47,6.61,6.96,7.73,10.01,9.32,6.92,8.85
ENSMUSG00000000340,Dbt,4.75,4.83,5.79,2.22,3.01,4.45,6.32,4.06,2.33,4.19
ENSMUSG00000000346,Dazap2,95.45,94.98,109.03,72.93,66.35,103.47,125.58,108.15,70.59,84.18
ENSMUSG00000000355,Mcts1,24.23,21.43,21.35,22.36,16.59,21.65,25.79,27.95,20.99,22.1
ENSMUSG00000000359,Rem1,0.36,0.43,0.54,0.63,0.81,0.19,0.73,1.15,1.9,1.02
ENSMUSG00000000365,Rnf17,0.21,0.2,0.23,0.29,0.07,0.14,0.23,0.08,0.27,0.52
