gene_name.GENEID,gene_name.GENENAME,MUT_12DPA_R1,MUT_12DPA_R2,MUT_12DPA_R3,WT_12DPA_R1,WT_12DPA_R2,MUT_14DPA_R1,MUT_14DPA_R2,MUT_14DPA_R3,WT_14DPA_R1,WT_14DPA_R2
ENSMUSG00000000001,Gnai3,92.09,102.26,95.94,65.79,55.21,108.02,97.77,100.38,49.12,59.46
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,2.81,1.92,2.99,1.36,2.29,1.08,1.07,1.13,0.9,1.64
ENSMUSG00000000037,Scml2,0.86,1.11,1.35,0.54,0.65,0.69,0.62,0.91,0.53,0.65
ENSMUSG00000000049,Apoh,0,0.01,0.01,0,0.02,0,0,0,0.02,0
ENSMUSG00000000056,Narf,14.88,13.46,16.57,9.58,11.9,12.64,10.39,12.4,6.54,9.39
ENSMUSG00000000058,Cav2,42.43,52.42,73.13,39.38,29.9,43.71,49.9,52.68,29.63,28.85
ENSMUSG00000000078,Klf6,40.45,51.34,59.28,27.51,36.23,56.46,44.09,43.06,24.19,23.98
ENSMUSG00000000085,Scmh1,8.43,8.25,11.19,8.69,9.4,6.13,5.19,7.37,5.06,6.58
ENSMUSG00000000088,Cox5a,112.06,126.29,121.76,92.97,85.92,110.17,107.91,115.53,56.46,74.86
ENSMUSG00000000093,Tbx2,1.1,1.87,0.86,3.31,3.68,0.61,2.03,1.24,3.41,3.1
ENSMUSG00000000094,Tbx4,0.52,0.87,0.88,1.67,1.56,0.22,0.72,0.41,0.95,1.17
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,1.18,1.96,0.87,2.25,1.09,1.31,1.54,1.99,1.04,0.82
ENSMUSG00000000125,Wnt3,1.36,1.65,3.06,2.57,6.67,1.57,1.56,2.3,1.43,5.13
ENSMUSG00000000126,Wnt9a,1.89,2.57,5.82,3.82,4.62,1.21,1.81,1.96,2,2.17
ENSMUSG00000000127,Fer,8.76,9.66,9.24,9.31,10.74,7.43,6.08,6.22,7.52,9.7
ENSMUSG00000000131,Xpo6,14.05,17.74,21.23,12.16,22.07,15.19,12.06,11.52,8.68,11.64
ENSMUSG00000000134,Tfe3,12.18,17.41,17.59,10.38,11,13.65,9.92,10.24,5.23,7.42
ENSMUSG00000000142,Axin2,3.51,4.62,5.51,4.54,6.56,2.88,2.59,3.56,3.74,5.4
ENSMUSG00000000148,Brat1,3.08,3.2,3.54,2.68,2.86,1.9,1.89,1.57,1.56,2.32
ENSMUSG00000000149,Gna12,12.41,15.87,18.84,12.66,17.06,13.91,11.65,10.57,8.21,13.12
ENSMUSG00000000154,Slc22a18,2.88,3.7,3.82,2.71,3.4,2.88,2.66,2.64,1.81,2.57
ENSMUSG00000000157,Itgb2l,0.03,0.01,0.02,0,0,0.05,0,0,0,0.11
ENSMUSG00000000159,Igsf5,0.04,0.01,0,0.01,0.01,0,0.02,0,0,0.01
ENSMUSG00000000167,Pih1d2,0.61,0.43,0.64,0.52,0.17,0.3,0.41,0.37,0.45,0.32
ENSMUSG00000000168,Dlat,9.48,10.11,11.71,6.04,8.58,7.83,7.02,6.49,4.17,6.37
ENSMUSG00000000171,Sdhd,32.87,28.52,33.39,23.72,20.75,21.69,27.41,28.11,18.29,20.28
ENSMUSG00000000182,Fgf23,0,0.02,0,0,0.01,0,0.01,0.02,0,0
ENSMUSG00000000183,Fgf6,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000184,Ccnd2,35.32,32.39,42.64,39.5,54.24,28.54,29.5,30.03,24.48,41.67
ENSMUSG00000000194,Gpr107,14.41,17.52,16.17,12.65,14.58,13.5,12.91,12.1,8.85,11.11
ENSMUSG00000000197,Nalcn,0.03,0.03,0.02,0.05,0.02,0.05,0.04,0.07,0.01,0.02
ENSMUSG00000000202,Btbd17,0,0.03,0.01,0.03,0,0.01,0,0,0.01,0
ENSMUSG00000000204,Slfn4,0.13,0.2,1.59,0.13,0.11,0.8,0.33,0.32,0.16,0.14
ENSMUSG00000000214,Th,0.04,0.01,0,0,0,0.01,0.02,0,0,0
ENSMUSG00000000215,Ins2,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,Scnn1g,1.38,1.49,1.84,0.77,1.57,2.16,1.04,1.05,0.42,1.43
ENSMUSG00000000223,Drp2,0.18,0.29,0.26,0.38,0.37,0.09,0.27,0.24,0.2,0.22
ENSMUSG00000000244,Tspan32,0.03,0.02,0.13,0.14,0.12,0.03,0.06,0.03,0.08,0.08
ENSMUSG00000000247,Lhx2,0.52,0.38,0.49,0.4,0.9,0.14,0.32,0.16,0.47,0.32
ENSMUSG00000000248,Clec2g,13.5,13.85,13,10.34,9.9,14.24,9.85,8.87,8.96,6.99
ENSMUSG00000000253,Gmpr,1.58,0.66,1.7,0.68,1.35,0.64,0.81,0.65,0.95,1.5
ENSMUSG00000000263,Glra1,0,0,0,0.01,0.04,0,0,0,0.01,0.01
ENSMUSG00000000266,Mid2,12.85,16.42,15.72,11.67,14.3,17.81,11.76,13.48,8.26,10.58
ENSMUSG00000000275,Trim25,10.46,12.55,9.36,4.34,5.58,8.27,10.03,8.67,3.75,5.03
ENSMUSG00000000276,Dgke,1.89,2.44,2.12,1.09,1.69,1.73,1.8,1.52,0.91,1.22
ENSMUSG00000000278,Scpep1,28.82,34.16,26.13,27.23,24.76,35.93,35.34,29.83,16.98,18.1
ENSMUSG00000000282,Mnt,12.12,15.77,17.9,5.66,8.51,17.73,11.27,12.4,5.18,5.72
ENSMUSG00000000290,Itgb2,1.07,0.97,8.43,1.71,1.69,0.64,0.89,1.07,0.76,1.17
ENSMUSG00000000295,Hddc2,15.89,16.76,16.75,11.81,12.57,14.28,16.14,16.79,10.23,15.67
ENSMUSG00000000296,Tpd52l1,2.11,3.13,3.81,2.49,5.25,2.38,1.93,1.96,2.08,5.74
ENSMUSG00000000301,Pemt,3.11,2,2.16,1.55,2.25,1.67,2,1.19,1.21,1.44
ENSMUSG00000000303,Cdh1,93.24,105.97,129.79,55.61,65.79,106.81,74.76,87.23,33.01,56.91
ENSMUSG00000000305,Cdh4,0.17,0.35,0.35,0.61,1.59,0.23,0.48,0.24,0.55,0.61
ENSMUSG00000000308,Ckmt1,115.97,119.82,114.26,65.38,65.38,99.49,85.19,96.58,44.35,51.65
ENSMUSG00000000317,Bcl6b,0.59,0.51,0.51,1.1,1.42,0.23,0.5,0.26,0.93,1.06
ENSMUSG00000000318,Clec10a,0.08,0.12,0.15,0.19,0.36,0,0.07,0.06,0.16,0.22
ENSMUSG00000000320,Alox12,11.92,11.96,9.47,5.49,4.31,14.01,9.1,9.65,3.69,3.68
ENSMUSG00000000326,Comt,36.45,41.12,41.71,20.85,22.65,35.33,35.22,29.3,13.16,17.76
ENSMUSG00000000339,Rtca,6.49,8.53,9.8,4.79,5.83,6.76,7.11,6.73,3.67,5.32
ENSMUSG00000000340,Dbt,3.75,4.62,5.42,1.61,2.52,3.89,4.49,2.93,1.24,2.52
ENSMUSG00000000346,Dazap2,75.35,90.93,102.09,52.82,55.55,90.43,89.23,78.11,37.42,50.56
ENSMUSG00000000355,Mcts1,19.13,20.52,19.99,16.2,13.89,18.92,18.33,20.18,11.13,13.27
ENSMUSG00000000359,Rem1,0.28,0.41,0.5,0.45,0.68,0.17,0.52,0.83,1,0.61
ENSMUSG00000000365,Rnf17,0.17,0.19,0.22,0.21,0.06,0.12,0.16,0.06,0.14,0.31
ENSMUSG00000000374,Trappc10,19.25,26.82,30.13,10.41,14.43,22.5,15.86,15.21,7.83,11.84
ENSMUSG00000000378,Ccm2,5.24,4.28,6.29,4.97,4.32,3.38,2.99,3.13,3.28,3.79
ENSMUSG00000000381,Wap,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,13.37,16.64,18.84,8.89,13.98,12.03,10.38,11.68,5.52,9.69
ENSMUSG00000000385,Tmprss2,0.06,0.1,0.1,0.14,0.21,0.29,0.12,0.01,0.17,0.16
ENSMUSG00000000386,Mx1,0.14,0.06,0.15,0.23,0.04,0,0.19,0.04,0.04,0.03
ENSMUSG00000000392,Fap,1.67,1.63,3.48,4.23,3.37,0.74,2.39,1.88,4,4.07
ENSMUSG00000000394,Gcg,0.01,0,0,0,0,0,0,0,0,0
ENSMUSG00000000399,Ndufa9,33.16,34.59,32.31,21.54,20.61,26.36,29.94,30.77,16.47,21.07
ENSMUSG00000000402,Egfl6,0.38,0.44,0.24,0.07,0.07,0.45,0.44,0.33,0.09,0.27
ENSMUSG00000000409,Lck,0.37,0.18,0.49,0.29,0.2,0.34,0.21,0.19,0.09,0.3
ENSMUSG00000000411,Tssk3,0.02,0,0.02,0.02,0,0,0.03,0,0.01,0.01
ENSMUSG00000000416,Cttnbp2,11.63,18.34,18.66,2.31,8.32,16.85,9.87,13.63,4.97,5.86
ENSMUSG00000000420,Galnt1,23.81,24.03,30.77,20.36,24.51,18.74,17.31,17.16,14.23,18.92
ENSMUSG00000000435,Myf5,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000439,Mkrn2,11.6,13.47,14.2,7.08,9.34,13.68,11.03,10.52,5.22,7.35
ENSMUSG00000000440,Pparg,0.1,0.06,0.14,0.12,0.2,0.06,0.07,0.11,0.11,0.1
ENSMUSG00000000441,Raf1,20.78,26.4,27.96,19.51,21.45,24.4,19.83,21.75,13.48,16.74
ENSMUSG00000000486,Sept1,0.94,1.55,0.74,0.52,1.04,0.66,1.18,0.67,0.72,0.82
ENSMUSG00000000489,Pdgfb,6.23,8.71,8.5,9.37,7.56,4.66,6.74,6.49,5.49,4.39
ENSMUSG00000000530,Acvrl1,1.85,2.12,2.94,2.75,3.78,1,2.04,1.39,2.71,2.7
ENSMUSG00000000531,Grasp,0.82,1.1,1.1,1.52,1.88,0.6,0.9,0.61,1.15,1.19
ENSMUSG00000000532,Acvr1b,20.23,22.86,22.06,11.84,12.27,14.37,12.63,13.23,6.23,9.41
ENSMUSG00000000538,Tom1l2,27.77,36.55,31.35,18.68,24.1,32.08,25.83,24.31,14.3,15.95
